"","location","social_context","rec_ID","notetype","Begin.File","Begin.Time..s.","End.Time..s.","Delta.Time..s.","Avg.Entropy..bits.","Max.Entropy..bits.","BW.90...Hz.","IQR.BW..Hz.","IQR.Dur..s.","PFC.Max.Slope..Hz.ms.","PFC.Min.Slope..Hz.ms.","Peak.Freq..Hz.","PFC.Max.Freq..Hz.","PFC.Min.Freq..Hz.","Peak.Time.Relative"
"1","matheran","A","l_01","AN","ZOOM0522_Tr1.WAV",19.747417111,20.111575738,0.364,3.734,5.284,775.2,258.4,0.1,267.1,-222.6,1894.9,1981.1,344.5,0.4839
"2","matheran","A","l_01","AN","ZOOM0522_Tr1.WAV",41.54164796,41.900204147,0.359,3.599,5.161,689.1,258.4,0.1,296.8,-311.6,1894.9,1981.1,172.3,0.4333
"3","matheran","A","l_01","AN","ZOOM0522_Tr1.WAV",61.158369215,61.472105878,0.314,3.661,5.074,861.3,258.4,0.1,237.4,-267.1,1894.9,1981.1,172.3,0.434
"4","matheran","A","l_01","AN","ZOOM0522_Tr1.WAV",82.910116246,83.291082194,0.381,3.759,5.226,861.3,172.3,0.1,267.1,-281.9,1894.9,2239.5,172.3,0.4615
"5","matheran","A","l_01","AN","ZOOM0522_Tr1.WAV",103.996099837,104.31543894,0.319,3.743,5.249,775.2,172.3,0.1,192.9,-267.1,1722.7,1894.9,172.3,0.6111
"6","matheran","A","l_01","AN","ZOOM0522_Tr1.WAV",116.948177565,117.306733751,0.359,3.73,5.13,861.3,172.3,0.1,252.2,-267.1,1894.9,1981.1,344.5,0.5
"7","matheran","A","l_01","AN","ZOOM0522_Tr1.WAV",154.201112713,154.542861578,0.342,3.8,5.363,861.3,172.3,0.1,252.2,-281.9,1636.5,1808.8,172.3,0.3276
"8","matheran","A","l_01","AN","ZOOM0522_Tr1.WAV",180.629555771,180.926485113,0.297,3.757,5.325,689.1,86.1,0.1,267.1,-252.2,1636.5,1981.1,172.3,0.7
"9","matheran","A","l_01","AN","ZOOM0522_Tr1.WAV",201.424228702,201.737965365,0.314,3.68,5.545,775.2,86.1,0.1,252.2,-252.2,1636.5,1808.8,86.1,0.7358
"10","matheran","A","l_01","AN","ZOOM0522_Tr1.WAV",223.968269748,224.270801531,0.303,3.713,5.317,775.2,172.3,0.1,207.7,-207.7,1808.8,1808.8,258.4,0.4902
"11","matheran","A","l_01","AN","ZOOM0522_Tr1.WAV",243.108279469,243.422016132,0.314,3.718,5.156,775.2,172.3,0.1,267.1,-252.2,1808.8,1808.8,172.3,0.5472
"12","matheran","A","l_01","AN","ZOOM0522_Tr1.WAV",258.5011754,258.831719384,0.331,3.675,5.363,775.2,258.4,0.1,296.8,-222.6,1894.9,1981.1,172.3,0.4821
"13","matheran","A","l_01","AN","ZOOM0522_Tr1.WAV",310.091438368,310.38836771,0.297,3.736,5.402,775.2,172.3,0.1,222.6,-222.6,1808.8,1808.8,430.7,0.44
"14","matheran","A","l_01","AN","ZOOM0522_Tr1.WAV",330.789902239,331.103638902,0.314,3.682,5.058,861.3,172.3,0.1,474.8,-519.3,1808.8,3703.7,86.1,0.5283
