"","rec_ID","social_context","notetype","Begin.Time..s.","End.Time..s.","Delta.Time..s.","Avg.Entropy..bits.","BW.90...Hz.","Max.Entropy..bits.","Peak.Freq..Hz.","Peak.Time.Relative"
"1","MZ001013","A","1",39.517164477,39.627239307,0.1101,3.247,4651.172,4.306,2756.25,0.2778
"2","MZ001013","A","1",48.795665618,48.911109952,0.1154,2.966,5167.969,4.259,2756.25,0.3684
"3","MZ001013","A","1",53.655065746,53.781249088,0.1262,3.036,5512.5,4.336,2756.25,0.5238
"4","MZ001013","A","1",57.158666713,57.279480551,0.1208,3.393,5512.5,5.174,2756.25,0.3
"5","MZ001013","A","1",69.417241693,69.548794538,0.1316,3.312,5426.367,4.71,2756.25,0.381
"6","MZ001013","A","1",73.661833873,73.804125726,0.1423,3.39,5598.633,5.408,2756.25,0.4783
"7","MZ001013","A","1",77.7211781,77.852730946,0.1316,3.378,5598.633,5.315,2756.25,0.4091
"8","MZ001013","A","1",81.51473197,81.662393327,0.1477,3.493,5340.234,4.904,2756.25,0.375
"9","MZ001013","A","1",85.681466301,85.80496489,0.1235,3.637,5598.633,5.505,2756.25,0.3333
"10","MZ001013","A","1",90.967742117,91.075132195,0.1074,3.359,5598.633,4.77,2670.117,0.1667
"11","MZ001013","A","1",98.72264681,98.8461454,0.1235,3.607,5167.969,4.753,2756.25,0.35
"12","MZ001013","A","1",102.730980811,102.865218408,0.1342,3.423,5598.633,4.399,2756.25,0.5909
"13","MZ001013","A","1",110.927527123,111.029547697,0.102,3.533,5340.234,5.065,2756.25,0.4375
"14","MZ001013","A","1",115.185542942,115.30635678,0.1208,3.119,5598.633,4.615,2756.25,0.35
"15","MZ001013","A","2",8.175375981,8.344515354,0.1691,3.126,5598.633,4.938,2756.25,0.7143
"16","MZ001013","A","2",11.925973759,12.087058875,0.1611,3.066,5598.633,5.137,2670.117,0.1852
"17","MZ001013","A","2",16.828330011,16.984045624,0.1557,3.232,5598.633,4.523,2756.25,0.3846
"18","MZ001013","A","2",20.919891122,21.078291487,0.1584,3.248,5512.5,4.733,2756.25,0.3704
"19","MZ001013","A","2",25.69069441,25.859833783,0.1691,3.199,5512.5,5.097,2756.25,0.4643
"20","MZ001013","A","2",29.701713256,29.865483125,0.1638,3.088,5684.766,4.847,2756.25,0.3333
"21","MZ001013","A","2",33.914088145,34.104705533,0.1906,3.065,5254.102,4.568,2756.25,0.5312
"22","MZ001013","A","2",43.901363715,44.065133584,0.1638,3.057,5598.633,4.277,2756.25,0.6296
"23","MZ001013","A","2",65.218290547,65.390114671,0.1718,3.368,5684.766,5.081,2756.25,0.4483
"24","MZ001013","A","2",94.402881567,94.55859718,0.1557,3.175,5684.766,4.52,2756.25,0.3846
"25","MZ001013","A","2",106.411775089,106.572860206,0.1611,3.441,5598.633,5.029,2756.25,0.5385
"26","MZ001013","A","2",119.137497159,119.301267028,0.1638,3.076,5684.766,4.655,2670.117,0.1852
"27","MZ001013","A","2",122.799498329,122.968637702,0.1691,3.134,5770.898,4.461,2756.25,0.2143
"28","MZ001013","A","2",126.560835106,126.719235471,0.1584,3.447,5598.633,4.282,2756.25,0.1923
"29","MZ001013","A","3",4.964413285,5.010054069,0.0456,4.041,1636.523,4.401,1808.789,0.5714
"30","MZ001013","A","3",5.028847332,5.069118611,0.0403,4.047,1894.922,4.703,1894.922,0.3333
"31","MZ001013","A","3",5.090596627,5.128183154,0.0376,4.352,2239.453,5.031,1894.922,0.5
"32","MZ001013","A","3",5.160400178,5.211410465,0.051,4.354,2153.32,5.061,1808.789,0.5
"33","MZ001013","A","3",5.240942736,5.281214015,0.0403,4.186,2842.383,4.802,1808.789,0.6667
"34","MZ001013","A","3",5.324170046,5.361756574,0.0376,3.953,1981.055,4.247,1722.656,0.6
"35","MZ001013","A","3",5.410082109,5.442299132,0.0322,3.964,1981.055,5.021,1636.523,0.8
"36","MZ001013","A","3",5.482570411,5.54968921,0.0671,4.161,1808.789,5.016,1636.523,0.5455
"37","MZ001013","A","3",39.656771579,39.721205625,0.0644,3.402,2411.719,4.783,2842.383,0.5
"38","MZ001013","A","3",39.753422649,39.79637868,0.043,3.641,2239.453,4.815,1636.523,0.6667
"39","MZ001013","A","3",39.833965207,39.884975494,0.051,4.01,2239.453,4.953,1722.656,0.5714
"40","MZ001013","A","3",39.91987727,39.978941812,0.0591,3.428,2497.852,4.725,2756.25,0.5556
"41","MZ001013","A","3",40.011158836,40.075592882,0.0644,3.409,2067.188,4.771,2928.516,0.5
"42","MZ001013","A","3",61.926785189,61.977795476,0.051,3.781,1636.523,4.357,1722.656,0.625
"43","MZ001013","A","3",61.988534484,62.036860019,0.0483,3.987,2067.188,4.717,1808.789,0.5714
"44","MZ001013","A","3",62.063707539,62.112033074,0.0483,4.251,3100.781,4.954,1808.789,0.4286
"45","MZ001013","A","3",62.138880593,62.184521376,0.0456,4.428,3617.578,5.172,1808.789,0.4286
"46","MZ001013","A","3",62.224792656,62.265063935,0.0403,4,2067.188,4.972,1722.656,0.5
"47","MZ001013","A","3",62.29996571,62.348291245,0.0483,3.943,2153.32,5.01,1722.656,0.5714
"48","MZ001013","A","3",62.388562524,62.436888059,0.0483,4.064,2239.453,5.015,1636.523,0.5714
"49","MZ001013","A","3",62.477159339,62.538908633,0.0617,3.749,1550.391,4.728,2756.25,0.6
"50","MZ001013","A","3",111.072503728,111.118144511,0.0456,3.638,2497.852,4.917,2756.25,0.7143
"51","MZ001013","A","3",111.155731038,111.206741325,0.051,3.571,2067.188,4.955,1636.523,0.625
"52","MZ001013","A","3",111.247012604,111.295338139,0.0483,4.069,2239.453,5.09,1636.523,0.5714
"53","MZ001013","A","3",111.340978922,111.389304458,0.0483,3.949,1981.055,5.017,2842.383,0.4286
"54","MZ001013","A","3",111.426890985,111.47521652,0.0483,4.106,1894.922,4.636,2842.383,0.4286
"55","MZ001013","A","3",115.378845082,115.421801113,0.043,3.531,1894.922,4.642,1636.523,0.7143
