"","inds","contextlist","seqlist"
"1","MZ001013","A","333333330202020202020201333330201010103333333302010101010101020101020133333013020202"
"2","MZ001020","A","23333333020120202020202020202020202020233333333330202020202202022020202220202202"
"3","MZ001021","A","2010201302020202020202020202020203333333302020201010201020202202010103333333020102"
"4","MZ001022","A","2020202020202020122013330102202333333333020220102020202020202020220202020202"
"5","MZ001023","A","12010202202020201060606060606060606060606060606060606060602020201020333330201"
"6","MZ001026","A","10202010130202010102020202020202020202020202020202020102020102"
"7","MZ001027","A","202020202020202020120120120202020202020203333012010120102012010202"
"8","MZ001029","A","2010333333020202020202020102020333333333302013020202020233333020202013020201330202"
"9","MZ001030","A","2020202020206020202020133020202020130202020202020202020602020202020333333333"
"10","MZ001048","A","1020133330233333020202020202010101010101010101013333010101010201020133020101"
"11","MZ001050","A","20202020202020202020202020202020202020202020133302020333333302020202"
"12","MZ001058","A","202020201033333333330101020133010102302020133020101010101020202010201020101"
"13","MZ001064","A","23333333330220202020202020202020202020202022333333330202022020202020202020130102020220102"
"14","MZ001065","A","101020101333010130133333302020202020333333333022022020133022202302333333"
"15","MZ001069","A","2020202020202020202020202020202020202020202020202020202010103333333302"
"16","MZ001073","A","20202020202020202020202020202020202020202022020202020220133333302"
"17","MZ001082","A","2020220220202020130102023013020202020333333333302022013013020130202020130203333333330202"
"18","MZ001094","A","2033333033330606010101010101010202020202020202020202020333302010303040606055504040404055555555"
"19","MZ001098","A","202033333333333020202022020130220202013333333330222020230220233333333022202022020130202020102020202020201"
"20","MZ001101","A","202033333333330222020220220220201301023013020220133320220201302202033333333333302022022010220222023022013020130222201333333302202202220122013330220202"
"21","MZ001102","A","10102013333333302020101010133020201012013020201332022022022012201201012010220133302201"
"22","MZ001103","A","2020223333330220120220201010233333333302020202022022023333333333022020120201333330202201201320201302202023333330220102"
"23","MZ001104","A","1333020202201010202020202333020220201333302020202020202013330202202013020201022013"
"24","MZ001105","A","10102020202010333333330202020202060333333302010133022020202020202022020202333330202"
"25","MZ001107","A","60606060606060606060603333330630101010101033333333020201010101010201013020201"
"26","MZ001041","A","202020333333330202010130130202020333033333330405504021020202020202020102033"
"27","MZ001009","N_A","2010120123333333020120201233333303333330120101010233311011022020202"
"28","MZ001010","N_A","1010101302033333333333020102033333333333302020202013333020201303333330101302020203333333333330202013013333333"
"29","MZ001012","N_A","102020120333333302022010101022010201020333333301020202020120202333333020202020102022"
"30","MZ001017","N_A","10120333333020102202022013010333333302201022020101202010202020333301333330102010333332202012010201010101"
"31","MZ001019","N_A","20102033333302010202020102010203333333010101012010201020103333333020201022020101020201"
"32","MZ001051","N_A","2020202020202020201020211011110333333202210333333320220202020202020202020202"
"33","MZ001059","N_A","33333330101101102202020202020203333040440440405555440440110505522020202"
"34","MZ001061","N_A","13022013333333020201302201333333302202022022020130130220220220203333333333302201302202202023333333330220201302202302022"
"35","MZ001063","N_A","10202203333333333330202022022012020201023333333330202202010120103333333333220222202201011110202022010110220220202202201"
"36","MZ001078","N_A","20202020201013020201333333020130202013333330220201333330202202023333302022022020202201022"
"37","MZ001080","N_A","130333333333302013022023023333302013302301333333020130333333333302020133201330201330133020233333330201333013020133013333330201301302"
"38","MZ001083","N_A","101333333012013012333333302010201013202201233333301012010120101201023333330120101012010122022201"
"39","MZ001095","N_A","20101301013333330201301020133333330201301330333333330201010202010202013020233333333302020133010130102"
"40","MZ001099","N_A","20202201013333330202202202013330233020202013333333302013023201302020233333330202302201333333020201333333202022202"
"41","MZ001014","T_D","40555055440540405505540550544055550555044"
"42","MZ001040","T_D","40405555555555555555555552555555555555555402055555555555555552555555555505555555554405555555555555555555555555555555555525504040552555555554055544010105555555201055555552202055555550550555555555040402555555555552555540404040555555055055555555055555555520202020101"
"43","MZ001044","T_D","440440504404405554040404055550202"
"44","MZ001046","T_D","4055504040404040202020205555550555555055555555550105502020333333020202025555555555055404405555555555504444055555555555555555555555505555555504405555555555555555555555040555555505555555555555555555555555550555555555555555055555555555555"
"45","MZ001091","T_D","5555550445555555555544044455555554404455555544555445555555044055555555555555555540444055555405555404440555205555552220555555220550555055050555555555555555055555555555505055555"
"46","MZ001041","T_D","20333330205550555555550555555555555550555055505555555555555555044055555555555055505555555555555555555555555555555555555550504040555555555555555555554040404055550555555555504055555555550405555555"
"47","MZ001089","T_D","555555555555555555555550404040404404040404040404040404440404"
"48","MZ001036","T_D","40404040404040404040404055555555555040404040404040404040404040404044040440404040404040404040404040404404040404040404040404040404040404040404040404040404040404040404040404040404040405505555555555045555555555555555555555555555555555555555555440404045555555555555555555555555555540405550555554405555555555555555555555405555055555555555555555555555555505555555555555555555555445555444045505555555555044044040404044044044055555555555555555555055550555555555555555555555555554040404404040455555555555505555555555550555550404040404040404040404040404040404044405555555555555555555550404045555555555555555444040405555544"
"49","MZ001090","T_D","4045505555555555555550440405555555555555555555555444045555555402"
"50","MZ001084","T_D","552055022055550555555220555555502201055550202055501033333333302"
